label, region
E15, frontal
E22, frontal
E9, frontal
E32, frontal
E1, frontal
E16, frontal
E18, frontal
E10, frontal
E26, frontal
E2, frontal
E23, frontal
E3, frontal
E11, frontal
E19, frontal
E4, frontal
E24, frontal
E124, frontal
E27, frontal 
E123, frontal
E33, frontal 
E122, frontal
E12, frontal
E5, frontal
E20, frontal
E118, frontal
E28, frontal
E117, frontal
E34, frontal
E116, frontal
E6, central
E13, central
E112, central
E29, central
E111, central
E35, central
E110, central
E7, central
E106, central
E30, central
E105, central
E36, central
E104, central
Cz, central
E31, central
E80, central
E41, central
E103, central
E37, central
E87, central
E55, central
E42, central
E93, central
E54, central
E79, central
E47, central
E98, central
E53, parietal
E86, parietal
E52, parietal
E92, parietal
E61, parietal
E78, parietal
E51, parietal
E97, parietal
E62, parietal
E60, parietal
E85, parietal
E67, parietal
E77, parietal
E59, parietal
E91, parietal
E72, parietal
E66, parietal
E84, parietal
E58, parietal
E96, parietal
E71, parietal
E76, parietal
E40, temporal
E39, temporal
E45, temporal
E46, temporal
E50, temporal
E109, temporal
E115, temporal
E108, temporal
E102, temporal
E101, temporal
E65, occipital
E90, occipital
E70, occipital
E83, occipital
E75, occipital
E64, occipital
E95, occipital
E69, occipital
E89, occipital
E74, occipital
E82, occipital
