edr.peak_time;edr.peak_dat;edr.rise_time;edr.max_deriv;edr.amplitude;edr.max_deriv2
1573142088291;0.593470;467;0.000434391;-0.000283659;0.000991057
1573142089891;0.594543;933;0.00199495;0.000791430;0.000964140
1573142094824;0.607010;2600;0.0154228;0.0190225;0.0143077
1573142099691;0.619454;2133;0.0943127;0.0808465;0.0914228
1573142102624;0.480905;1200;0.00590805;0.00640526;0.0946458
1573142111691;0.488189;2667;0.0210172;0.0282579;0.0167560
1573142112158;0.487961;0;2.17372e-05;0.00000;0.000118355
1573142115358;0.491608;3200;0.00185054;0.00364700;0.00136178
1573142117624;0.485385;333;0.000872067;0.000445634;0.00149139
1573142120424;0.473174;1000;0.000857875;0.00115305;0.00895495
1573142125491;0.467588;3533;0.0131175;0.0182430;0.0309895
1573142130891;0.463312;200;2.46478e-05;-4.99189e-05;0.000358539
1573142134158;0.462274;134;7.22247e-06;-2.58982e-05;-0.000339230
1573142138958;0.468060;3734;0.00343025;0.00623158;0.00191062
1573142139758;0.469085;467;0.000230169;0.00118282;-0.00245737
1573142143558;0.515474;1600;0.102487;0.100132;0.0990389
1573142144024;0.514094;200;0.00704362;0.000126779;0.00171422
1573142146091;0.541891;2067;0.0126453;0.0277975;0.00367700
1573142148024;0.492259;866;0.207186;0.135483;0.342233
1573142150958;0.518302;2600;0.0204605;0.0396910;-0.00380748
1573142152958;0.520427;1000;0.0276966;0.0130322;0.0296449
1573142154824;0.530248;1066;0.0271819;0.0149701;0.0249887
1573142159758;0.539395;3734;0.0120671;0.0182011;0.0136487
1573142165758;0.532501;667;0.000267175;-8.64267e-06;0.000434311
1573142166891;0.532409;400;0.00237349;0.000164807;0.000500859
1573142167691;0.531470;267;0.000262806;-0.000359535;-0.0138545
1573142169491;0.496586;333;0.00729316;-0.00373706;0.000371471
1573142171891;0.534282;1200;0.110365;0.0732628;0.122862
1573142173691;0.573587;1067;0.0738831;0.0481076;0.0795176
1573142175558;0.581790;1600;0.00801024;0.00938040;-0.00205383
1573142177424;0.583628;933;0.00920342;0.00465357;0.00828450
1573142182958;0.573769;1534;0.00178887;0.00169092;0.00308536
1573142183158;0.573834;134;0.000289766;2.51532e-05;0.000222127
1573142184424;0.574891;1266;0.00139145;0.00105739;0.000672472
1573142195224;0.564593;1666;0.00194996;0.00182742;0.00169401
1573142195691;0.564643;133;0.000208652;7.62939e-06;8.85847e-05
1573142196691;0.564915;1000;0.000443679;0.000272155;0.000126732
1573142197158;0.564894;134;1.47583e-05;-3.56436e-05;-0.000373101
1573142199091;0.564725;800;0.000184887;7.99894e-05;0.000391795
1573142205891;0.564134;1867;0.000963652;0.000830829;0.00111352
1573142208491;0.564582;1467;0.000638198;0.000614643;0.000882151
1573142211291;0.564319;1267;0.000152993;0.000204206;0.000552823
1573142212158;0.567071;667;0.00101734;0.00269258;0.000298280
1573142216024;0.566921;2266;0.0474015;0.0682625;0.0902854
1573142216558;0.566540;200;0.00152034;0.000123620;0.000941311
1573142218758;0.573091;2200;0.00450348;0.00655097;0.00286582
1573142220091;0.573182;867;0.000361350;0.000157356;0.000160127
1573142225558;0.567437;2734;0.00159051;0.00399268;0.00807038
1573142226224;0.568408;666;0.00158824;0.000971258;0.000107245
1573142228291;0.571976;2067;0.00176752;0.00356770;0.000179771
1573142231291;0.554076;1333;0.00912602;0.00919157;0.0284241
1573142235891;0.540917;1800;0.0152063;0.0165105;0.0164033
1573142236891;0.546215;1000;0.00754978;0.00529766;0.000182354
1573142238891;0.516413;333;0.00139442;0.000885308;0.0198417
1573142240424;0.517118;1066;0.000272600;0.000842214;0.00433187
1573142242491;0.543479;1867;0.0242463;0.0261326;0.0175612
1573142248358;0.564829;4800;0.0421167;0.0541435;0.0702827
1573142255624;0.556082;333;4.99845e-05;-2.73585e-05;0.000578988
1573142258024;0.556366;1533;0.000543550;0.000404596;0.000570038
1573142260758;0.554238;667;2.33130e-05;3.54648e-05;0.00113086
1573142262091;0.554380;600;0.000114231;0.000136852;-6.93901e-05
1573142264758;0.545469;467;0.00212989;0.000577033;0.00375772
1573142267824;0.534807;1533;0.00479102;0.00534248;0.0181052
1573142271824;0.533040;1666;0.00413513;0.00407052;0.00663791
1573142273024;0.531923;333;0.000942697;-0.000396729;-0.0127596
1573142275358;0.468712;134;0.000779079;0.000416785;0.0104363
1573142283091;0.417350;1267;0.00191331;0.00140420;0.00293122
1573142289891;0.401022;133;7.16886e-05;3.97563e-05;0.00260551
1573142294158;0.406173;3134;0.00314678;0.00537315;0.00295577
1573142294891;0.406358;600;0.000414436;0.000108212;-0.000558967
1573142297024;0.407831;1200;0.00252003;0.00203249;0.00303103
1573142300424;0.457863;3400;0.0371675;0.0500317;0.0233170
1573142305491;0.483576;2333;0.0448904;0.0566415;0.0560667
1573142307891;0.510311;2400;0.0201191;0.0267352;0.00739778
1573142309891;0.486802;400;8.46836e-05;0.000404567;0.0202325
1573142311891;0.490927;1467;0.00450483;0.00400451;0.00445451
1573142320224;0.463639;66;9.92042e-05;-7.20918e-05;-0.00384839
1573142323291;0.453786;1133;0.00357816;0.00353500;0.0102845
1573142324558;0.457466;1267;0.00464064;0.00368035;0.000938647
1573142326358;0.458574;1067;0.00282447;0.00154060;0.00316682
1573142330824;0.507469;3333;0.0263457;0.0528563;0.0194182
1573142334424;0.527693;2933;0.0111867;0.0210652;0.0105430
1573142335424;0.532121;1000;0.00657599;0.00442845;0.00177194
1573142338691;0.523605;1133;0.00700282;0.00647449;0.0126898
1573142341224;0.536936;2533;0.00679336;0.0133315;0.00121992
