HRV.time;HRV.x;HRV.y;HRV.z
1573142085686;64.5369;30.8954;4.56776
1573142085936;65.6665;29.9377;4.39581
1573142086186;66.9210;28.5813;4.49770
1573142086436;67.8707;27.1988;4.93054
1573142086686;68.6247;25.8467;5.52864
1573142086936;69.2920;24.5740;6.13396
1573142087186;69.9594;23.4072;6.63344
1573142087436;70.6731;22.3551;6.97184
1573142087686;71.2599;21.7532;6.98689
1573142087936;72.0697;21.1739;6.75639
1573142088186;73.0357;20.5975;6.36678
1573142088436;74.1688;19.9405;5.89071
1573142088686;75.2557;19.2536;5.49064
1573142088936;76.2393;18.5335;5.22728
1573142089186;77.1018;17.7862;5.11208
1573142089436;77.8527;17.0344;5.11293
1573142089686;78.5379;16.2897;5.17242
1573142089936;79.1970;15.5693;5.23371
1573142090186;79.8599;14.8836;5.25650
1573142090436;80.6083;14.1330;5.25869
1573142090686;81.2687;13.4544;5.27688
1573142090936;81.8338;12.8474;5.31881
1573142091186;82.2811;12.3598;5.35907
1573142091436;82.6995;11.9222;5.37827
1573142091686;83.0955;11.5329;5.37153
1573142091936;83.4796;11.1886;5.33180
1573142092186;83.8600;10.8863;5.25371
1573142092436;84.1896;10.6792;5.13121
1573142092686;84.6072;10.4715;4.92126
1573142092936;85.0859;10.2571;4.65695
1573142093186;85.6004;10.0229;4.37674
1573142093436;86.0858;9.77345;4.14075
1573142093686;86.5104;9.50682;3.98275
1573142093936;86.8686;9.21166;3.91978
1573142094186;87.1336;8.90954;3.95686
1573142094436;87.3283;8.60718;4.06450
1573142094686;87.4826;8.31368;4.20377
1573142094936;87.6135;7.99146;4.39509
1573142095186;87.6768;7.71627;4.60697
1573142095436;87.6895;7.49553;4.81497
1573142095686;87.6532;7.33124;5.01558
1573142095936;87.5640;7.23377;5.20225
1573142096186;87.4255;7.20444;5.37005
1573142096436;87.3385;7.22050;5.44099
1573142096686;87.3148;7.26094;5.42430
1573142096936;87.3458;7.32421;5.32995
1573142097186;87.3867;7.44463;5.16867
1573142097436;87.3592;7.61195;5.02882
1573142097686;87.2544;7.82085;4.92476
1573142097936;87.1574;7.99687;4.84577
1573142098186;87.0847;8.17700;4.73827
1573142098436;87.0338;8.35685;4.60934
1573142098686;86.9981;8.53214;4.46979
1573142098936;86.8106;8.84402;4.34539
1573142099186;86.3651;9.20219;4.43268
1573142099436;85.7102;9.60182;4.68801
1573142099686;84.9214;10.0399;5.03875
1573142099936;84.0808;10.5151;5.40405
1573142100186;83.2589;11.0261;5.71492
1573142100436;82.4999;11.5710;5.92914
1573142100686;81.8203;12.1446;6.03511
1573142100936;81.3052;12.6707;6.02410
1573142101186;80.8857;13.1960;5.91827
1573142101436;80.5269;13.7103;5.76281
1573142101686;80.1934;14.2059;5.60073
1573142101936;79.8620;14.6743;5.46375
1573142102186;79.5214;15.1128;5.36577
1573142102436;79.1743;15.5202;5.30546
1573142102686;78.8508;15.8839;5.26528
1573142102936;78.5574;16.2194;5.22312
1573142103186;78.2999;16.5293;5.17087
1573142103436;78.0774;16.8141;5.10851
1573142103686;77.9139;17.0510;5.03508
1573142103936;77.7954;17.2598;4.94481
1573142104186;77.7068;17.4397;4.85352
1573142104436;77.6342;17.5901;4.77565
1573142104686;77.5689;17.7108;4.72021
1573142104936;77.5434;17.7838;4.67283
1573142105186;77.5692;17.8272;4.60361
1573142105436;77.6394;17.8420;4.51860
1573142105686;77.7428;17.8279;4.42933
1573142105936;77.8567;17.7787;4.36462
1573142106186;77.8983;17.7053;4.39637
1573142106436;77.8707;17.6118;4.51751
1573142106686;77.7909;17.5044;4.70476
1573142106936;77.6860;17.3917;4.92234
1573142107186;77.5858;17.2814;5.13280
1573142107436;77.5155;17.1800;5.30450
1573142107686;77.4894;17.0904;5.42019
1573142107936;77.5096;17.0131;5.47722
1573142108186;77.5675;16.9454;5.48709
1573142108436;77.6472;16.8828;5.47000
1573142108686;77.7254;16.8192;5.45540
1573142108936;77.7763;16.7558;5.46795
1573142109186;77.8004;16.6912;5.50844
1573142109436;77.8098;16.6262;5.56400
1573142109686;77.8238;16.5624;5.61375
1573142109936;77.8612;16.5013;5.63750
1573142110186;77.9347;16.4433;5.62197
1573142110436;78.0480;16.3864;5.56560
1573142110686;78.1924;16.3263;5.48127
1573142110936;78.3483;16.2598;5.39192
1573142111186;78.5021;16.1817;5.31622
1573142111436;78.6449;16.0877;5.26739
1573142111686;78.7691;15.9730;5.25796
1573142111936;78.8652;15.8438;5.29102
1573142112186;78.9498;15.7021;5.34810
1573142112436;79.0420;15.5513;5.40669
1573142112686;79.1578;15.3930;5.44918
1573142112936;79.3037;15.2281;5.46818
1573142113186;79.4820;15.0924;5.42568
1573142113436;79.7679;14.9301;5.30196
