HR.time;HR.data
1573142086106;50.9915
1573142087473;45.68528
1573142088334;68.181816
1573142090810;75.313805
1573142091694;78.60262
1573142092130;89.10891
1573142092905;86.124405
1573142093934;54.054054
1573142095250;100.55866
1573142095686;109.756096
1573142097365;70.86614
1573142099616;80.71749
1573142100299;85.30806
1573142102979;90.11264
1573142104095;54.711246
1573142105250;54.380665
1573142106270;54.711246
1573142107502;50.0
1573142108731;50.27933
1573142110075;46.753246
1573142111051;56.962025
1573142112224;49.72376
1573142113277;55.90062
1573142114534;48.780487
1573142115787;93.99478
1573142116415;101.1236
1573142118051;74.6888
1573142121770;79.64602
1573142122477;85.30806
1573142123192;90.0
1573142123799;90.45226
1573142124491;91.83673
1573142125190;91.83673
1573142125782;88.66995
1573142126498;86.124405
1573142127228;94.24084
1573142127820;85.30806
1573142128592;78.60262
1573142129316;91.83673
1573142130007;85.30806
1573142130702;77.25322
1573142131504;78.60262
1573142132264;83.72093
1573142133009;78.60262
1573142133756;82.56881
1573142134465;85.30806
1573142135304;77.586205
1573142135978;79.64602
1573142136739;78.26087
1573142137537;74.07407
1573142138338;75.94936
1573142139165;75.94936
1573142140812;72.43461
1573142141678;65.21739
1573142143178;82.75862
1573142143742;96.77419
1573142144583;72.0
1573142145353;84.11215
1573142146080;74.380165
1573142147064;61.643837
1573142149269;81.3253
1573142150583;48.12834
1573142151611;57.142857
1573142152459;71.14625
1573142153788;44.00978
1573142154570;77.25322
1573142156066;78.947365
1573142156907;78.947365
1573142157632;78.947365
1573142158464;71.42857
1573142159243;82.56881
1573142160052;70.86614
1573142160730;83.333336
1573142161674;71.42857
1573142162425;76.92308
1573142163269;67.92453
1573142164088;71.71315
1573142164931;70.03891
1573142165791;68.70229
1573142166600;75.94936
1573142167483;68.70229
1573142168765;48.780487
1573142170000;49.45055
1573142170849;72.0
1573142172087;48.12834
1573142172876;73.46939
1573142174395;79.64602
1573142175714;86.124405
1573142176476;81.44797
1573142178077;78.947365
1573142178820;78.26087
1573142179470;83.72093
1573142180278;73.77049
1573142181073;76.27119
1573142182025;76.59574
1573142182840;80.71749
1573142183438;72.289154
1573142184300;74.380165
1573142185091;74.6888
1573142185960;70.588234
1573142186847;64.51613
1573142187672;73.77049
1573142188489;70.86614
1573142189450;67.16418
1573142190182;74.380165
1573142191004;71.42857
1573142192017;64.05694
1573142192897;66.666664
1573142193720;70.588234
1573142194463;81.818184
1573142195406;61.85567
1573142196295;68.965515
1573142197222;67.669174
1573142198123;67.16418
1573142198922;70.03891
1573142199805;67.669174
1573142200711;66.42066
1573142201559;72.0
1573142202461;70.86614
1573142203366;62.71777
1573142204241;70.588234
1573142205184;67.41573
1573142206020;73.17073
1573142206841;78.60262
1573142207681;62.5
1573142208547;64.7482
1573142209451;67.16418
1573142210638;71.14625
1573142211501;71.14625
1573142212186;73.77049
1573142213091;73.46939
1573142214711;63.047287
1573142215796;59.800663
1573142217242;79.4702
1573142218272;57.142857
1573142219013;78.60262
1573142220159;66.17647
1573142220867;67.92453
1573142222164;49.72376
1573142224860;77.586205
1573142225365;74.6888
1573142226178;75.94936
1573142226980;68.181816
1573142227736;64.98195
1573142228606;75.63025
1573142229328;83.72093
1573142230474;55.384617
1573142231813;75.94936
1573142232643;76.92308
1573142234504;42.056076
1573142235028;53.892216
1573142235841;82.56881
1573142236818;71.42857
1573142237796;67.03911
1573142239793;68.181816
1573142240478;75.94936
1573142241356;67.669174
1573142243132;65.57377
1573142245066;63.60424
1573142246139;52.941177
1573142247143;66.666664
1573142247850;67.669174
1573142248683;75.313805
1573142249846;63.60424
1573142250615;63.82979
1573142251752;63.82979
1573142253005;61.643837
1573142254051;65.454544
1573142255533;63.60424
1573142256269;58.82353
1573142257394;68.965515
1573142258192;64.28571
1573142258814;70.3125
1573142259695;63.157894
1573142260199;67.669174
1573142261014;58.252426
1573142261850;64.05694
1573142263402;63.60424
1573142264147;51.57593
1573142265851;64.17112
1573142266603;77.25322
1573142267441;73.77049
1573142269311;67.79661
1573142270055;79.29515
1573142270964;77.586205
1573142271813;60.81081
1573142272654;72.0
1573142273538;63.157894
1573142274588;58.82353
1573142276179;40.08909
1573142277453;41.18993
1573142279021;62.283737
1573142280236;76.92308
1573142281409;56.25
1573142283431;73.77049
1573142284182;69.23077
1573142285393;76.59574
1573142287439;69.76744
1573142288196;71.71315
1573142291451;59.210526
1573142293032;73.46939
1573142295377;64.05694
1573142299420;48.780487
1573142299907;71.71315
1573142300870;51.8732
1573142302681;49.861496
1573142303407;75.63025
1573142304157;69.23077
1573142304650;57.32484
1573142305435;67.669174
1573142307497;66.29834
1573142308382;71.71315
1573142309403;62.93706
1573142310026;78.947365
1573142311851;81.818184
1573142315078;70.77326
1573142316218;50.27933
1573142317007;69.23077
1573142317787;54.054054
1573142318620;82.19178
1573142319784;65.21739
1573142320644;72.289154
1573142321384;72.58064
1573142322236;70.03891
1573142323049;60.402683
1573142323807;65.454544
1573142324566;72.289154
1573142325425;65.93407
1573142326287;59.60265
1573142327844;57.32484
1573142328597;68.70229
1573142329633;75.63025
1573142330186;90.0
1573142331636;62.39168
1573142333864;52.02312
1573142335057;52.32558
1573142336235;60.0
1573142337834;44.77612
1573142339250;63.60424
1573142340209;66.42066
1573142341408;58.631924
1573142344255;60.470325
1573142345452;46.511627
1573142346558;56.782333
1573142347783;66.9145
1573142348281;76.92308
1573142349268;56.25
1573142351021;65.21739
1573142352025;64.7482
1573142352870;68.70229
1573142353861;59.60265
1573142354822;67.41573
1573142355781;60.20067
1573142356682;64.51613
1573142357772;66.666664
1573142359467;62.93706
1573142360399;71.71315
1573142361259;64.98195
1573142362190;63.380283
1573142363193;63.380283
1573142364101;63.157894
1573142365036;62.068966
1573142366036;62.283737
1573142366916;66.42066
1573142367883;62.5
1573142368751;69.23077
1573142371173;49.586777
1573142372823;37.190083
1573142373660;69.23077
1573142374478;72.58064
1573142375349;68.181816
1573142377387;58.72757
1573142379187;67.79661
1573142380040;68.181816
1573142380848;79.64602
1573142382277;40.723984
1573142383278;59.210526
1573142385023;69.63249
1573142385943;68.70229
1573142387726;64.63196
1573142388799;58.82353
1573142389773;59.60265
1573142390729;62.283737
1573142391666;64.51613
1573142392632;62.068966
1573142393645;61.85567
1573142394609;59.800663
1573142395681;56.42633
1573142396744;56.962025
1573142397767;57.507988
1573142398821;58.064518
1573142399887;56.074768
1573142400905;57.877815
1573142401875;62.283737
1573142402947;55.90062
1573142403866;64.98195
1573142404827;66.42066
1573142405825;57.507988
1573142406841;59.40594
1573142407802;63.60424
1573142408876;57.32484
1573142409775;62.71777
1573142410645;69.76744
1573142411600;64.51613
