tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573142111692;24.8425;16334;4.47321e-06;-0.0154648;0.000259482
1573142125358;24.8513;13666;0.00144938;0.00878143;0.000176673
1573142129692;24.8501;4334;0.000180533;-0.00115967;0.000343580
1573142136358;24.8565;6666;0.00185380;0.00641060;0.000376454
1573142137692;24.8568;1334;4.35207e-05;0.000230789;0.000176138
1573142142358;24.8607;4666;0.00110694;0.00394630;0.000176138
1573142150358;24.8332;8000;0.000322577;-0.0275249;0.00103412
1573142157692;24.8413;7334;0.00177796;0.00815392;0.00103412
1573142162358;24.8441;4666;0.000928374;0.00277328;1.42606e-05
1573142171692;24.8538;9334;0.00218443;0.00965881;0.000226090
1573142174025;24.8537;2333;4.61052e-05;-0.000101089;5.81175e-05
1573142174025;24.8537;0;4.61052e-05;0.00000;5.81175e-05
1573142190025;24.8640;16000;0.00145853;0.0103683;0.000142622
1573142193358;24.8633;3333;3.19225e-05;-0.000682831;0.000230936
1573142204358;24.8705;11000;0.00125932;0.00713730;0.000244281
1573142220692;24.8788;16334;0.000919984;0.00835991;6.75436e-05
1573142243692;24.9143;23000;0.00303857;0.0354118;0.000334249
1573142244692;24.9143;1000;7.18691e-05;7.24792e-05;-8.54511e-05
1573142245692;24.9143;1000;0.000139770;-7.62939e-05;2.25614e-05
1573142260358;24.9261;14666;0.00148567;0.0118370;0.000178280
1573142268025;24.9309;7667;0.000957898;0.00485420;7.56746e-05
1573142283025;24.9693;15000;0.00428737;0.0383911;0.000489945
1573142297025;25.0140;14000;0.00745300;0.0446739;0.000858105
1573142305025;25.0062;8000;0.000100188;-0.00778198;0.000332119
1573142323692;25.0367;18667;0.00266198;0.0304661;0.000353682
1573142334358;25.0286;10666;0.000131719;-0.00810814;0.000219895
1573142338025;25.0292;3667;0.000783781;0.000604630;0.000219895
1573142341692;25.0281;3667;0.000163666;-0.00112152;0.000522712
1573142347358;25.0365;5666;0.00273874;0.00845146;0.000531270
1573142350025;25.0371;2667;0.000253979;0.000602722;0.000316973
1573142361025;25.0546;11000;0.00211515;0.0174503;0.000410499
1573142368358;25.0469;7333;3.55568e-05;-0.00772285;0.000790712
1573142382692;25.0952;14334;0.00610480;0.0483150;0.000998864
1573142391358;25.0930;8666;4.16848e-05;-0.00211716;0.000186878
1573142400692;25.0996;9334;0.00113718;0.00655365;0.000192732
1573142411025;25.1084;10333;0.00127420;0.00882721;0.000112847
1573142415025;25.1077;4000;0.000185990;-0.000749588;0.000207574
1573142433692;25.1327;18667;0.00315943;0.0250244;0.000317676
1573142438358;25.1355;4666;0.000714225;0.00279808;1.24954e-05
1573142444358;25.1386;6000;0.000673951;0.00312233;2.88192e-05
1573142465025;25.1794;20667;0.00475042;0.0407963;0.000462348
1573142469358;25.1774;4333;0.000124318;-0.00205421;0.000307198
1573142477358;25.1818;8000;0.00100842;0.00444221;0.000307198
1573142495025;25.1946;17667;0.00172294;0.0128021;0.000128411
1573142501692;25.2018;6667;0.00134881;0.00715637;2.74344e-05
1573142510692;25.1889;9000;0.000224461;-0.0128384;0.000441555
1573142522692;25.2085;12000;0.00471178;0.0195847;0.000513044
1573142527358;25.1950;4666;0.00100763;-0.0135117;0.00229998
1573142532692;25.2222;5334;0.0101225;0.0271721;0.00229998
1573142539025;25.1907;6333;0.000181947;-0.0315151;0.00140939
1573142551358;25.2265;12333;0.00629047;0.0358181;0.00140939
1573142558358;25.1978;7000;0.000926221;-0.0286751;0.00186067
1573142565025;25.2198;6667;0.00549626;0.0219765;0.00186067
1573142573025;25.1991;8000;-0.000597684;-0.0206718;4.86368e-05
1573142580025;25.1859;7000;0.000208169;-0.0131874;0.000536975
1573142585358;25.1880;5333;0.000547213;0.00208855;0.000536975
1573142587025;25.1882;1667;4.69416e-05;0.000190735;0.000161963
1573142596025;25.1939;9000;0.00124065;0.00570107;0.000198872
1573142598025;25.1934;2000;1.64682e-05;-0.000452042;0.000449463
1573142598358;25.1935;333;8.78523e-05;5.53131e-05;0.000533377
1573142613358;25.2226;15000;0.00419546;0.0290909;0.000586821
1573142618358;25.2247;5000;0.000510315;0.00212860;5.58034e-05
1573142622358;25.2264;4000;0.000550459;0.00171280;1.31503e-06
1573142632025;25.2351;9667;0.00209570;0.00868225;0.000260494
1573142634358;25.2361;2333;0.000472936;0.000940323;0.000685371
1573142641692;25.2577;7334;0.00504345;0.0216064;0.000749488
1573142644692;25.2568;3000;2.44726e-05;-0.000907898;4.34915e-05
1573142649358;25.2577;4666;0.000384837;0.000980377;4.92998e-05
1573142661025;25.2367;11667;6.48696e-05;-0.0210705;0.00111149
1573142666358;25.2493;5333;0.00485880;0.0126324;0.00111149
1573142673025;25.2252;6667;0.000137832;-0.0240974;0.000902183
1573142692358;25.2703;19333;0.00571255;0.0451107;0.000902183
1573142698358;25.2660;6000;0.000200476;-0.00432587;0.000758521
1573142711025;25.3055;12667;0.00604997;0.0394859;0.000992622
1573142716025;25.3127;5000;0.00178096;0.00718498;2.53213e-06
1573142725358;25.3250;9333;0.00174239;0.0123291;6.07298e-05
1573142733025;25.3141;7667;0.000272316;-0.0108490;0.000638000
1573142750358;25.3487;17333;0.00262766;0.0345612;0.000638000
1573142759358;25.3557;9000;0.00131432;0.00702286;3.77692e-05
1573142759692;25.3558;334;3.48202e-05;5.91278e-05;2.23382e-05
1573142760358;25.3559;666;2.09566e-05;8.01086e-05;8.42024e-05
1573142778692;25.3782;18334;0.00281820;0.0223598;0.000321180
1573142779692;25.3788;1000;1.55734e-06;0.000595093;7.54619e-05
1573142800358;25.3993;20666;0.00218939;0.0204487;0.000294154
1573142813692;25.4042;13334;0.000691963;0.00493622;9.01063e-05
1573142814358;25.4043;666;1.67387e-05;0.000106812;6.01822e-06
1573142814358;25.4043;0;1.67387e-05;0.00000;6.01822e-06
1573142823692;25.4078;9334;0.000635205;0.00350189;8.46077e-05
1573142827358;25.4074;3666;5.67227e-05;-0.000442505;0.000303076
1573142840692;25.4263;13334;0.00208350;0.0189152;0.000362071
1573142841692;25.4267;1000;8.39305e-05;0.000398636;0.000136563
1573142854692;25.4409;13000;0.00192484;0.0142326;0.000260676
1573142858692;25.4402;4000;6.68089e-05;-0.000751495;0.000136270
