edr.peak_time;edr.peak_dat;edr.rise_time;edr.max_deriv;edr.amplitude;edr.max_deriv2
1573142094379;0.866908;1667;0.0263607;0.0253402;0.0207940
1573142095112;0.866510;400;0.000751436;-0.000120640;-0.00444374
1573142101046;0.837339;934;0.00332736;0.00149000;0.00454944
1573142116646;0.805124;2000;0.00354989;0.00508600;0.00392474
1573142119846;0.807971;2200;0.00545621;0.00504786;0.00685609
1573142124912;0.807728;1533;0.00365388;0.00396580;0.00297794
1573142129512;0.847610;4600;0.0191901;0.0398816;0.0115624
1573142134779;0.846089;2600;0.00316941;0.00592798;0.00336099
1573142137912;0.865306;3133;0.0113894;0.0192174;0.00661020
1573142140712;0.864411;1133;0.00454110;0.00254267;0.00599416
1573142146579;0.864085;4000;0.00191791;0.00530070;0.00341523
1573142148379;0.864940;1733;0.000993989;0.000860155;0.000766556
1573142151112;0.865840;1266;0.00365548;0.00290006;0.00508593
1573142153846;0.871506;2334;0.00487014;0.00581306;0.00285094
1573142162312;0.869304;2200;0.00411022;0.00482190;0.00447377
1573142164112;0.871191;1800;0.00192285;0.00188768;0.00107676
1573142166312;0.872377;1933;0.000970355;0.00109607;0.000633435
1573142171379;0.867236;667;0.000494256;0.000154316;0.00145742
1573142185312;0.873799;3400;0.00791177;0.0155113;0.00785395
1573142187112;0.882327;1533;0.00918500;0.00827581;0.00590230
1573142193846;0.873603;734;0.000360195;0.000342190;0.00226724
1573142196779;0.876724;1533;0.00453270;0.00413203;0.00488303
1573142198846;0.881115;1934;0.00383029;0.00434422;0.00264665
1573142244312;0.888484;44933;0.00426727;0.00751555;0.00310188
1573142247912;0.892736;1866;0.00527853;0.00465566;0.00456331
1573142249712;0.892059;733;0.00201744;0.000421345;0.00196811
1573142254579;0.892793;1600;0.00371263;0.00351113;0.00333605
1573142256579;0.891463;600;0.000264589;0.000109255;0.00120501
1573142260246;0.891224;1334;0.00183709;0.00149339;0.00162789
1573142262979;0.882770;1133;0.000518036;0.000492275;0.00692026
1573142350579;0.803404;67;0.00112938;0.000316322;0.00889290
1573142385846;0.766734;2067;0.00178770;0.00232875;0.00234861
1573142390312;0.845244;3600;0.0312666;0.0790874;0.0231765
1573142393779;0.936970;3467;0.0427381;0.0917255;0.0173622
1573142395379;0.957013;1600;0.0164316;0.0200438;0.00753885
1573142397046;0.973551;1667;0.0121541;0.0165374;0.000119878
1573142425179;0.841114;1933;0.00212163;0.00278854;0.00433474
1573142431512;0.829161;800;0.000367452;0.000267982;0.00278736
1573142435379;0.839406;3467;0.00508947;0.0102941;0.00388560
1573142469379;0.824432;3133;0.00803712;0.0129177;0.00563751
1573142471779;0.829220;2400;0.00259767;0.00478792;0.000730705
1573142476246;0.832836;2267;0.00469355;0.00580579;0.00423821
1573142478312;0.836894;2066;0.00293899;0.00405830;0.00159452
1573142482312;0.836486;1666;0.00172260;0.00184119;0.00209008
1573142486046;0.847399;3734;0.00485674;0.0109126;0.00181102
1573142487779;0.853153;1733;0.00489712;0.00575435;0.00125080
1573142492579;0.850126;1333;0.000325366;0.000247419;0.000312817
1573142498779;0.888561;2800;0.0222565;0.0387834;0.0163617
1573142503179;1.01983;4400;0.0533782;0.131273;0.0271858
1573142506779;1.03246;2667;0.00971561;0.0158116;0.0114205
1573142510179;1.01671;1000;0.00511074;0.00314176;0.0129210
1573142530512;1.00828;2533;0.0256417;0.0405396;0.0153106
1573142534512;1.10862;4000;0.0397866;0.100339;0.0165516
1573142537446;1.09643;1000;0.00419514;0.00226665;0.0109397
1573142542312;1.08255;1333;0.00275530;0.00260854;0.00503170
1573142543779;1.08544;1467;0.00303063;0.00288403;0.00131785
1573142545446;1.09003;1467;0.00523767;0.00438154;0.00285786
1573142548646;1.09557;1667;0.00977952;0.00952733;0.0105002
1573142581512;1.14168;30933;0.0338846;0.0489733;0.0165721
1573142581979;1.14689;467;0.0152028;0.00521255;0.000371708
1573142582112;1.14600;133;0.00637766;-0.000891328;0.000760709
1573142583646;1.07429;134;0.00285094;0.000798941;0.0122009
1573142616646;1.09824;32400;0.00708197;0.0239074;0.00104509
1573142617779;1.10525;1133;0.00708197;0.00701869;0.000817063
1573142618312;1.10513;400;0.00141164;0.000201225;1.25813e-05
1573142618979;1.10576;667;0.00146645;0.000625610;0.000238320
1573142620712;1.10852;1733;0.00277110;0.00276315;0.00182998
1573142637312;1.08317;1133;0.00148694;0.00108802;0.00236928
1573142641112;1.08708;2400;0.00358301;0.00440180;0.00271102
1573142656646;1.06906;3934;0.00751193;0.0163136;0.00687427
1573142673379;1.03632;1667;0.00359590;0.00346041;0.00376405
1573142677046;1.04062;2800;0.00221206;0.00463986;0.00209820
1573142688312;1.05174;4133;0.00656273;0.0163108;0.00329768
1573142695312;1.04056;1200;0.00279440;0.00248885;0.00365149
1573142697179;1.04493;1867;0.00322440;0.00436735;0.000491111
1573142715046;1.01205;1467;0.00338697;0.00263727;0.00390625
1573142721446;1.00242;800;0.00122916;0.000398517;0.00189680
1573142841646;0.888370;667;0.000439742;0.000103116;0.000938649
1573142843246;0.888851;1000;0.000887677;0.000487149;0.000817896
1573142850846;0.883060;934;0.000879929;0.000396788;0.00179559
1573142857712;0.888517;3133;0.00480366;0.00845146;0.00323245
1573142881179;0.866817;2467;0.00140795;0.00243920;0.00158862
1573142884579;0.880001;2733;0.00883214;0.0133204;0.00591344
1573142907312;0.875778;20066;0.00726818;0.00603783;0.00851486
1573142908312;0.859388;1000;0.00471393;-0.0163903;9.17167e-05
1573142909512;0.852560;66;0.000609163;0.000200272;0.00720406
1573142914646;0.849785;667;0.000736017;0.000178516;0.000928597
1573142933046;0.843553;2600;0.000603409;0.000881076;0.000760793
1573142944512;0.836655;933;0.000606391;0.000247240;0.000533971
1573142987446;0.820533;3200;0.00599919;0.00897211;0.00446377
1573142991246;0.824144;1800;0.00313833;0.00395387;0.00217629
1573142993312;0.830517;2066;0.00395627;0.00637275;0.000627811
1573142995779;0.843030;2467;0.00736802;0.0125133;0.00442791
1573143000846;0.936855;5067;0.0356340;0.0938244;0.0120197
