HRV.time;HRV.x;HRV.y;HRV.z
1573142083574;29.6488;30.3475;40.0038
1573142083824;31.4264;29.4547;39.1189
1573142084074;31.4702;29.4419;39.0880
1573142084324;31.5183;29.4355;39.0462
1573142084574;31.5672;29.4318;39.0009
1573142084824;29.8896;29.5951;40.5153
1573142085074;29.3484;29.7082;40.9435
1573142085324;28.8962;29.9152;41.1886
1573142085574;28.6087;30.1704;41.2208
1573142085824;28.3947;30.5010;41.1043
1573142086074;28.2299;30.8799;40.8902
1573142086324;28.0850;31.2718;40.6431
1573142086574;28.0625;31.3304;40.6072
1573142086824;28.0389;31.3815;40.5796
1573142087074;28.0129;31.4233;40.5637
1573142087324;28.2838;31.0724;40.6438
1573142087574;28.5049;30.8148;40.6803
1573142087824;28.6739;30.6496;40.6766
1573142088074;28.7984;30.5815;40.6201
1573142088324;28.8945;30.6191;40.4864
1573142088574;28.7407;30.4485;40.8107
1573142088824;28.4715;30.1470;41.3814
1573142089074;28.1175;29.7576;42.1249
1573142089324;27.7340;29.3480;42.9180
1573142089574;27.3835;28.9923;43.6242
1573142089824;27.1007;28.7374;44.1618
1573142090074;26.9335;28.6395;44.4269
1573142090324;26.8123;28.7365;44.4512
1573142090574;26.7645;29.0397;44.1958
1573142090824;26.7207;29.4654;43.8139
1573142091074;26.6146;29.9213;43.4641
1573142091324;26.4115;30.3381;43.2504
1573142091574;26.4645;30.2339;43.3016
1573142091824;26.4713;29.9107;43.6180
1573142092074;26.2621;29.5644;44.1735
1573142092324;26.3884;29.6908;43.9208
1573142092574;26.5372;29.8128;43.6500
1573142092824;26.7037;29.9241;43.3722
1573142093074;26.8809;30.0153;43.1038
1573142093324;26.7449;29.9721;43.2831
1573142093574;26.3129;29.9385;43.7485
1573142093824;25.8603;30.0292;44.1106
1573142094074;25.4235;30.2758;44.3006
1573142094324;25.2356;30.4840;44.2804
1573142094574;25.0822;30.7802;44.1376
1573142094824;24.9549;31.1505;43.8946
1573142095074;24.8377;31.5706;43.5917
1573142095324;25.0067;30.8836;44.1097
1573142095574;25.1674;30.1952;44.6374
1573142095824;25.3442;29.5413;45.1145
1573142096074;25.5502;28.9401;45.5096
1573142096324;25.8294;28.2764;45.8941
1573142096574;26.0751;27.7579;46.1670
1573142096824;26.3167;27.2530;46.4303
1573142097074;26.5359;26.7411;46.7230
1573142097324;26.6139;26.5323;46.8537
1573142097574;26.6898;26.3157;46.9945
1573142097824;26.9258;25.6215;47.4527
1573142098074;27.1714;24.9577;47.8709
1573142098324;27.4707;24.3616;48.1677
1573142098574;27.8669;23.8656;48.2675
1573142098824;28.4379;23.4555;48.1066
1573142099074;29.1593;23.1825;47.6582
1573142099324;30.0207;23.0335;46.9459
1573142099574;30.9839;22.9790;46.0371
1573142099824;31.6838;22.9769;45.3393
1573142100074;32.3674;22.9771;44.6555
1573142100324;32.9786;22.9515;44.0699
1573142100574;33.4716;22.8829;43.6455
1573142100824;33.8214;22.7695;43.4091
1573142101074;33.4083;23.0127;43.5789
1573142101324;32.7298;23.4992;43.7710
1573142101574;31.9672;24.0526;43.9801
1573142101824;31.1473;24.6398;44.2129
1573142102074;30.3215;25.2437;44.4348
1573142102324;29.6303;25.8018;44.5679
1573142102574;29.0509;26.3671;44.5820
1573142102824;28.6079;26.9296;44.4625
1573142103074;28.3153;27.4504;44.2343
1573142103324;28.1488;27.9070;43.9442
1573142103574;28.0709;28.2773;43.6518
1573142103824;28.0576;28.4817;43.4606
1573142104074;28.0892;28.4891;43.4217
1573142104324;28.1345;28.4263;43.4392
1573142104574;28.2378;28.3029;43.4592
1573142104824;28.3993;28.1239;43.4768
1573142105074;28.6159;27.8934;43.4907
1573142105324;28.8935;27.5998;43.5067
1573142105574;29.2080;27.2547;43.5372
