HR.time;HR.data
1573142084014;46.391754
1573142084994;60.402683
1573142087221;79.29515
1573142088446;49.315067
1573142089658;48.780487
1573142091684;59.50413
1573142093281;74.534164
1573142094254;64.51613
1573142095455;52.02312
1573142096479;53.731342
1573142097842;46.99739
1573142098789;59.01639
1573142101436;69.94819
1573142103096;69.097885
1573142104295;52.478134
1573142105437;52.785923
1573142106661;49.04632
1573142107767;52.785923
1573142108995;48.387096
1573142110252;49.72376
1573142111516;48.0
1573142112631;53.097343
1573142113323;80.35714
1573142113988;92.30769
1573142114684;84.90566
1573142115411;90.0
1573142115977;94.73684
1573142116671;94.73684
1573142117229;96.25668
1573142117932;90.90909
1573142119187;93.99478
1573142119831;98.36066
1573142120420;93.75
1573142121107;87.37864
1573142122995;66.9145
1573142123516;95.74468
1573142125959;78.832115
1573142127431;75.15658
1573142128045;93.75
1573142128713;91.83673
1573142129604;66.42066
1573142131676;87.37864
1573142132783;55.04587
1573142134385;74.22681
1573142135517;55.214725
1573142136649;52.32558
1573142137319;88.23529
1573142137977;91.83673
1573142138681;87.80488
1573142139423;81.08108
1573142140167;78.947365
1573142140826;85.71429
1573142141487;102.27273
1573142142822;85.106384
1573142143496;100.55866
1573142144052;96.77419
1573142144778;100.55866
1573142145326;89.55224
1573142146029;83.72093
1573142146755;84.11215
1573142147515;80.35714
1573142148221;86.53846
1573142148922;84.11215
1573142149578;88.23529
1573142150281;90.0
1573142150976;86.95652
1573142151628;87.37864
1573142152299;93.26425
1573142152888;97.82609
1573142153945;59.01639
1573142155675;70.588234
1573142156334;87.80488
1573142157066;79.29515
1573142157979;80.71749
1573142158776;79.29515
1573142159460;77.92208
1573142160020;84.50704
1573142160748;96.77419
1573142161454;85.30806
1573142162006;98.9011
1573142162699;94.24084
1573142163197;98.9011
1573142163951;95.2381
1573142165261;83.916084
1573142165977;84.11215
1573142166747;80.0
1573142167502;86.124405
1573142168231;82.94931
1573142169155;77.25322
1573142169654;98.36066
1573142171569;91.83673
1573142174299;85.91885
1573142175069;85.30806
1573142176421;83.72093
1573142177119;93.26425
1573142177851;89.55224
1573142178554;81.08108
1573142179415;80.0
1573142180002;81.818184
1573142181212;83.333336
1573142200360;62.283737
1573142200503;87.37864
1573142201157;86.53846
1573142203277;82.94931
1573142203902;81.818184
1573142204308;81.08108
1573142205185;81.818184
1573142205666;79.64602
