tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573142105267;26.4036;12000;0.00756279;0.0462036;0.00110143
1573142118267;26.4469;13000;0.00605544;0.0432777;0.000678608
1573142129601;26.4872;10000;0.00738374;0.0400600;0.00107021
1573142141267;26.5319;11666;0.00788422;0.0446415;0.000998456
1573142154601;26.5754;13334;0.00629751;0.0435219;0.000780924
1573142168267;26.6206;13666;0.00694403;0.0451584;0.000874121
1573142180601;26.6697;10334;0.00773895;0.0494251;0.00122014
1573142185267;26.6909;4666;0.00535803;0.0212231;0.000373302
1573142242601;26.7910;57334;0.00857484;0.100075;0.000682994
1573142252601;26.8319;10000;0.00427458;0.0408936;0.000628948
1573142266601;26.8843;14000;0.00715005;0.0524845;0.000767662
1573142275601;26.9040;9000;0.00301568;0.0196190;0.000281724
1573142285267;26.9251;9666;0.00345042;0.0211086;0.000259869
1573142295601;26.9495;10334;0.00342550;0.0244408;0.000409373
1573142345267;26.9700;49666;0.00307186;0.0204430;0.000161970
1573142347601;26.9856;2334;-3.66687e-05;0.0156689;-0.00112153
1573142354601;27.0916;7000;0.0175451;0.105988;0.00159042
1573142375934;27.1363;14667;0.00422986;0.0379467;0.000357747
1573142396267;27.1786;18000;0.00355685;0.0378227;0.000352039
1573142412267;27.2232;16000;0.00507364;0.0446568;0.000503169
1573142422934;27.2719;10667;0.00613239;0.0487022;0.000492638
1573142432601;27.3099;9667;0.00605036;0.0380268;0.000381459
1573142470267;27.3504;21000;0.00350360;0.0362625;0.000269444
1573142488934;27.4012;14333;0.00624340;0.0519848;0.000773392
1573142497267;27.4412;8333;0.00580472;0.0399628;0.000445509
1573142505601;27.4838;8334;0.00627027;0.0426712;0.000195618
1573142515934;27.5282;10333;0.00663563;0.0444031;0.000332244
1573142536934;27.5772;21000;0.00451231;0.0490055;0.000294744
1573142610934;27.6114;74000;0.00272382;0.0341778;0.000431738
1573142614601;27.5986;2667;0.000333459;-0.0117302;-1.47593e-05
1573142620267;27.5816;5666;-0.00294075;-0.0169926;-0.000236363
1573142638934;27.6018;18667;0.00214799;0.0202198;0.000765761
