HRV.time;HRV.x;HRV.y;HRV.z
1573142380661;16.0108;48.1762;35.8130
1573142380911;17.8226;51.7928;30.3846
1573142381161;19.6386;54.9263;25.4352
1573142381411;21.3890;57.3775;21.2335
1573142381661;23.0386;59.0776;17.8838
1573142381911;24.5902;60.0863;15.3236
1573142382161;26.0869;60.5516;13.3615
1573142382411;27.5797;60.6324;11.7879
1573142382661;29.1926;60.4083;10.3991
1573142382911;30.8186;59.9301;9.25131
1573142383161;32.4667;59.2376;8.29566
1573142383411;33.8730;58.5572;7.56980
1573142383661;35.3839;57.7739;6.84217
1573142383911;36.9579;56.8347;6.20744
1573142384161;38.5496;55.7029;5.74744
1573142384411;40.1502;54.3420;5.50782
1573142384661;41.7023;52.8020;5.49575
1573142384911;43.2104;51.1339;5.65572
1573142385161;44.5027;49.6760;5.82126
1573142385411;45.8565;48.2262;5.91722
1573142385661;47.2672;46.8038;5.92899
1573142385911;48.7174;45.4107;5.87194
1573142386161;50.1823;44.0357;5.78206
1573142386411;51.6246;42.6754;5.69993
1573142386661;53.0106;41.3375;5.65190
1573142386911;54.3436;40.0131;5.64332
1573142387161;55.6193;38.7205;5.66012
1573142387411;56.8512;37.4773;5.67156
1573142387661;58.4033;35.8321;5.76456
1573142387911;59.7129;34.2920;5.99504
1573142388161;60.8405;32.8892;6.27032
1573142388411;61.7071;31.9082;6.38469
1573142388661;62.6552;31.0471;6.29763
1573142388911;63.6895;30.2814;6.02913
1573142389161;64.7854;29.5814;5.63324
1573142389411;65.9397;28.8874;5.17290
1573142389661;67.0610;28.1957;4.74339
1573142389911;68.1167;27.4883;4.39506
1573142390161;69.0977;26.7548;4.14750
1573142390411;70.2219;25.6861;4.09197
1573142390661;70.9565;24.6284;4.41505
1573142390911;71.4089;23.6217;4.96942
1573142391161;71.7047;22.7024;5.59291
1573142391411;71.9559;21.8952;6.14894
1573142391661;72.2402;21.2085;6.55135
1573142391911;72.5939;20.6384;6.76778
1573142392161;73.0177;20.1713;6.81098
1573142392411;73.4878;19.7899;6.72222
1573142392661;73.9455;19.5342;6.52024
1573142392911;74.5413;19.2913;6.16740
1573142393161;75.2257;19.0449;5.72939
1573142393411;75.9465;18.7816;5.27196
1573142393661;76.6589;18.4917;4.84936
1573142393911;77.3324;18.1705;4.49706
1573142394161;77.8881;17.8707;4.24117
1573142394411;78.4710;17.5344;3.99468
1573142394661;79.0718;17.1642;3.76402
1573142394911;79.6793;16.7632;3.55751
1573142395161;80.3273;16.2866;3.38612
1573142395411;80.9027;15.7930;3.30424
1573142395661;81.4010;15.2911;3.30787
1573142395911;81.8211;14.8063;3.37264
1573142396161;82.2003;14.3276;3.47213
1573142396411;82.5509;13.8620;3.58705
1573142396661;82.8740;13.4434;3.68260
1573142396911;83.2088;13.0448;3.74639
1573142397161;83.5520;12.6689;3.77913
1573142397411;83.8926;12.3186;3.78877
1573142397661;84.2314;11.9588;3.80977
1573142397911;84.4840;11.6440;3.87190
1573142398161;84.6522;11.3765;3.97123
1573142398411;84.7481;11.1589;4.09299
1573142398661;84.7705;10.9835;4.24593
1573142398911;84.7145;10.8777;4.40785
1573142399161;84.6113;10.8408;4.54785
1573142399411;84.5246;10.8627;4.61274
1573142399661;84.4821;10.9301;4.58773
1573142399911;84.4808;11.0373;4.48194
1573142400161;84.5313;11.1483;4.32040
1573142400411;84.6407;11.2659;4.09340
1573142400661;84.7788;11.3819;3.83939
1573142400911;84.9174;11.4816;3.60097
1573142401161;85.0492;11.5642;3.38662
1573142401411;85.1587;11.6263;3.21507
1573142401661;85.2390;11.6663;3.09478
1573142401911;85.2922;11.6849;3.02291
1573142402161;85.3244;11.6844;2.99125
1573142402411;85.3425;11.6680;2.98954
1573142402661;85.3525;11.6392;3.00833
1573142402911;85.3561;11.6014;3.04244
1573142403161;85.3418;11.5580;3.10021
1573142403411;85.2975;11.5166;3.18586
1573142403661;85.2221;11.4814;3.29655
1573142403911;85.1186;11.4568;3.42462
1573142404161;84.8182;11.4671;3.71466
1573142404411;84.2873;11.5559;4.15677
1573142404661;83.5903;11.7299;4.67977
1573142404911;82.8075;11.9939;5.19858
1573142405161;82.0136;12.3501;5.63626
1573142405411;81.2642;12.7969;5.93892
1573142405661;80.5907;13.3267;6.08261
1573142405911;79.9977;13.9281;6.07420
1573142406161;79.4704;14.5857;5.94386
1573142406411;78.9851;15.2808;5.73409
1573142406661;78.6611;15.8429;5.49607
1573142406911;78.4305;16.3881;5.18149
1573142407161;78.2704;16.9027;4.82689
1573142407411;78.2012;17.2983;4.50050
1573142407661;78.2044;17.6404;4.15517
1573142407911;78.2580;17.9218;3.82022
1573142408161;78.3395;18.1353;3.52521
1573142408411;78.4167;18.3039;3.27939
1573142408661;78.4347;18.3941;3.17114
1573142408911;78.3946;18.4105;3.19483
1573142409161;78.3061;18.3619;3.33204
1573142409411;78.1901;18.2612;3.54866
1573142409661;78.0733;18.1232;3.80348
1573142409911;77.9781;17.9618;4.06004
1573142410161;77.9362;17.7999;4.26394
1573142410411;77.9546;17.6317;4.41367
1573142410661;78.0222;17.4625;4.51535
1573142410911;78.1241;17.3054;4.57053
1573142411161;78.2559;17.1471;4.59696
1573142411411;78.3971;16.9895;4.61337
1573142411661;78.5344;16.8333;4.63230
1573142411911;78.6308;16.6342;4.73494
1573142412161;78.5658;16.4737;4.96048
1573142412411;78.3822;16.3615;5.25632
1573142412661;78.1396;16.3068;5.55355
1573142412911;77.8961;16.3153;5.78867
1573142413161;77.6941;16.3874;5.91851
1573142413411;77.5550;16.5175;5.92744
1573142413661;77.4787;16.6944;5.82697
1573142413911;77.4495;16.9020;5.64850
1573142414161;77.4119;17.1515;5.43660
1573142414411;77.3192;17.4070;5.27386
1573142414661;77.1724;17.6539;5.17364
1573142414911;77.1165;17.8031;5.08037
1573142415161;77.1886;17.9138;4.89760
1573142415411;77.3832;17.9795;4.63732
1573142415661;77.6781;17.9916;4.33029
1573142415911;78.0434;17.9402;4.01638
1573142416161;78.4260;17.8172;3.75685
1573142416411;78.7876;17.6179;3.59453
1573142416661;79.1060;17.3378;3.55613
1573142416911;79.3619;16.9897;3.64839
1573142417161;79.5663;16.5880;3.84573
1573142417411;79.7443;16.1555;4.10022
1573142417661;79.9286;15.7039;4.36750
1573142417911;80.1396;15.2490;4.61138
1573142418161;80.3847;14.8043;4.81104
1573142418411;80.6572;14.3772;4.96560
1573142418661;80.9364;13.9777;5.08592
1573142418911;81.1995;13.6113;5.18920
1573142419161;81.4280;13.2785;5.29349
1573142419411;81.6065;12.9895;5.40406
1573142419661;81.7388;12.7484;5.51285
1573142419911;81.8391;12.5598;5.60111
1573142420161;81.9272;12.4261;5.64676
1573142420411;82.0200;12.3473;5.63268
1573142420661;82.1328;12.3191;5.54802
1573142420911;82.2818;12.3270;5.39121
1573142421161;82.4490;12.3623;5.18868
1573142421411;82.6100;12.4149;4.97512
1573142421661;82.7228;12.4936;4.78358
1573142421911;82.7056;12.5877;4.70670
1573142422161;82.5684;12.6914;4.74019
1573142422411;82.4024;12.7821;4.81553
1573142422661;82.2529;12.8673;4.87980
1573142422911;82.1431;12.9476;4.90936
1573142423161;82.0791;13.0226;4.89825
1573142423411;82.0267;13.1007;4.87258
1573142423661;81.9449;13.1771;4.87801
1573142423911;81.8037;13.2512;4.94511
1573142424161;81.5821;13.3245;5.09338
1573142424411;81.2730;13.4026;5.32449
1573142424661;80.8876;13.4944;5.61803
1573142424911;80.4518;13.6116;5.93664
1573142425161;80.0157;13.7611;6.22320
1573142425411;79.5963;13.9565;6.44722
1573142425661;79.2010;14.2070;6.59202
1573142425911;78.8488;14.5014;6.64974
1573142426161;78.5099;14.8501;6.64004
1573142426411;78.1512;15.2526;6.59618
1573142426661;77.7355;15.7111;6.55349
1573142426911;77.2455;16.2177;6.53676
1573142427161;76.6785;16.7718;6.54980
1573142427411;76.0651;17.3606;6.57437
1573142427661;75.4218;17.9952;6.58300
1573142427911;74.7691;18.6775;6.55338
1573142428161;74.1218;19.4034;6.47475
1573142428411;73.3493;20.2826;6.36807
1573142428661;72.4947;21.2060;6.29939
1573142428911;71.5464;22.1600;6.29365
1573142429161;70.7254;22.9579;6.31663
1573142429411;69.9102;23.7536;6.33627
1573142429661;69.1011;24.5408;6.35810
1573142429911;68.1037;25.4639;6.43237
1573142430161;67.0258;26.3795;6.59476
