HR.time;HR.data
1573142382677;56.074768
1573142383543;68.965515
1573142384396;67.669174
1573142385156;79.29515
1573142386676;80.0
1573142387712;57.877815
1573142388599;73.17073
1573142389450;70.3125
1573142390622;49.72376
1573142391824;49.72376
1573142392726;64.05694
1573142394320;76.75906
1573142395167;68.70229
1573142396016;71.42857
1573142396779;76.27119
1573142397758;67.669174
1573142398650;62.068966
1573142399536;68.44106
1573142400323;80.71749
1573142401030;85.30806
1573142401709;85.30806
1573142403194;80.71749
1573142404271;55.04587
1573142406967;68.61499
1573142407653;81.08108
1573142408513;69.49807
1573142409446;68.44106
1573142410223;73.77049
1573142410971;79.64602
1573142412017;57.507988
1573142414279;52.02312
1573142415083;74.07407
1573142415914;72.289154
1573142416756;70.86614
1573142417595;72.0
1573142418516;71.71315
1573142419278;70.86614
1573142420908;76.10994
1573142421813;64.98195
1573142422612;74.6888
1573142423460;68.965515
1573142425162;71.00592
1573142425976;74.380165
1573142426783;73.46939
1573142427583;74.6888
1573142428552;65.69343
1573142429299;79.29515
1573142430137;67.16418
1573142431033;74.6888
1573142431812;72.289154
1573142434481;67.58448
1573142436212;72.58064
1573142437807;72.0
1573142438754;68.181816
1573142440240;75.63025
1573142441957;69.63249
1573142442823;69.76744
1573142443762;68.44106
1573142445386;72.8745
1573142446420;72.8745
1573142448123;67.03911
1573142449316;72.58064
1573142449926;82.19178
1573142450425;66.9145
1573142451262;70.3125
1573142452202;77.25322
1573142453073;65.93407
1573142453816;74.6888
1573142454630;70.588234
1573142455541;67.669174
1573142456303;76.59574
1573142457142;71.14625
1573142458044;69.76744
1573142459126;65.93407
1573142460092;55.90062
1573142461484;44.00978
1573142462215;75.0
1573142463095;73.17073
1573142464647;71.14625
1573142465971;70.588234
1573142466416;67.16418
1573142467356;75.0
1573142468227;72.0
1573142469478;64.98195
1573142470390;76.92308
1573142472674;70.3125
1573142472993;65.21739
1573142473181;71.14625
1573142473809;72.0
1573142474756;66.42066
1573142475536;78.947365
1573142475957;67.669174
1573142476805;68.44106
1573142477545;70.588234
1573142478358;71.14625
1573142479168;70.86614
1573142480051;69.49807
1573142481071;70.03891
