tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573142404628;28.7333;14334;-0.000145488;-0.0199757;4.56458e-07
1573142414961;28.7309;10333;-0.000145488;-0.00235939;4.32762e-06
1573142434961;28.7141;20000;-0.000218097;-0.0168152;9.34625e-06
1573142441961;28.7031;7000;5.71830e-05;-0.0110207;0.000535385
1573142446961;28.7063;5000;0.00116377;0.00320816;0.000535385
1573142459961;28.6975;13000;5.14115e-05;-0.00880814;0.000174788
1573142463628;28.6978;3667;0.000247223;0.000305176;0.000174788
1573142467294;28.6971;3666;4.92076e-05;-0.000665665;0.000216186
1573142475961;28.7044;8667;0.00148615;0.00733566;0.000285821
1573142486294;28.6976;10333;5.15515e-05;-0.00683212;0.000103535
1573142488961;28.6977;2667;0.000344685;8.39233e-05;0.000103535
1573142497294;28.6895;8333;-6.25047e-05;-0.00819016;3.24276e-06
1573142502294;28.6834;5000;-0.00107698;-0.00613213;1.24741e-05
1573142510961;28.6756;8667;0.000109982;-0.00778580;0.000375645
1573142517628;28.6816;6667;0.00163099;0.00599670;0.000375645
1573142526294;28.6729;8666;7.25444e-07;-0.00871849;0.000233953
1573142529961;28.6737;3667;0.000580126;0.000843048;0.000233953
1573142536294;28.6665;6333;6.38639e-05;-0.00716972;0.000251909
1573142539628;28.6667;3334;6.38639e-05;0.000194550;0.000251909
1573142539628;28.6667;0;-3.78713e-05;0.00000;-4.63558e-05
1573142549294;28.6586;9666;0.000161117;-0.00813293;0.000392790
1573142552961;28.6595;3667;0.000570475;0.000856400;0.000392790
1573142557294;28.6579;4333;8.84255e-05;-0.00160217;0.000204046
1573142561628;28.6590;4334;0.000713928;0.00110435;0.000204046
1573142561961;28.6589;333;3.39437e-06;-5.91278e-05;6.90415e-05
1573142563628;28.6592;1667;3.45741e-05;0.000339508;0.000246877
1573142569628;28.6654;6000;0.00209385;0.00615120;0.000250929
1573142572294;28.6661;2666;4.37279e-05;0.000701904;-6.02359e-05
1573142575628;28.6663;3334;0.000284754;0.000156403;-5.14819e-05
1573142580628;28.6622;5000;0.000350068;-0.00405502;0.000542464
1573142586628;28.6690;6000;0.00190461;0.00684166;0.000542464
1573142591628;28.6667;5000;0.000175540;-0.00234985;0.000251036
1573142595961;28.6689;4333;0.000947829;0.00219727;0.000251036
1573142601294;28.6649;5333;0.000167673;-0.00397301;0.000260202
1573142607628;28.6670;6334;0.000572235;0.00206757;0.000260202
1573142616961;28.6532;9333;0.000190294;-0.0137596;0.000665602
1573142625628;28.6639;8667;0.00223966;0.0107021;0.000665602
1573142637294;28.6695;11666;0.00105063;0.00562286;8.56884e-05
1573142642628;28.6657;5334;0.000168301;-0.00387764;0.000474671
1573142647961;28.6716;5333;0.00217329;0.00595856;0.000474671
1573142651628;28.6711;3667;2.60188e-05;-0.000535965;0.000100195
1573142663294;28.6815;11666;0.00212143;0.0103836;0.000232821
1573142664628;28.6816;1334;4.94978e-05;0.000125885;-6.22688e-05
1573142665628;28.6816;1000;0.000234754;-4.00543e-05;1.21578e-06
1573142669294;28.6821;3666;0.000286799;0.000539780;1.21578e-06
1573142670961;28.6822;1667;6.30595e-05;6.10352e-05;2.03251e-05
1573142680294;28.6850;9333;0.000685691;0.00288010;6.14946e-05
1573142689628;28.6913;9334;0.00131618;0.00629234;9.52311e-05
1573142691294;28.6914;1666;9.71358e-05;0.000104904;0.000334662
1573142699628;28.7040;8334;0.00271326;0.0125656;0.000407277
1573142700961;28.7041;1333;4.30709e-05;5.91278e-05;0.000295614
1573142709294;28.7177;8333;0.00289057;0.0136108;0.000398844
1573142716294;28.7314;7000;0.00236855;0.0136909;0.000299853
1573142731294;28.7800;15000;0.00437908;0.0486507;0.000309043
1573142750961;28.8225;19667;0.00423778;0.0424461;0.000223664
1573142753961;28.8222;3000;5.39189e-05;-0.000219345;0.000216634
1573142767961;28.8386;14000;0.00188242;0.0163765;0.000246099
1573142773294;28.8421;5333;0.00124787;0.00350761;4.55232e-05
1573142777628;28.8407;4334;6.74611e-05;-0.00145531;0.000193910
1573142783628;28.8430;6000;0.000641067;0.00233459;0.000193910
1573142793628;28.8492;10000;0.00127838;0.00621223;0.000144402
1573142798628;28.8457;5000;0.000203156;-0.00350380;0.000380254
1573142806628;28.8523;8000;0.000878588;0.00655174;0.000380254
1573142814628;28.8581;8000;0.00107291;0.00583076;6.71504e-05
1573142817294;28.8583;2666;7.02793e-05;0.000190735;0.000178324
1573142838294;28.8924;21000;0.00348726;0.0341511;0.000267499
1573142839628;28.8922;1334;0.000109084;-0.000207901;0.000222918
1573142847628;28.9022;8000;0.00230042;0.0100060;0.000243743
1573142849294;28.9024;1666;6.08134e-05;0.000143051;5.69327e-05
1573142858294;28.9081;9000;0.00116947;0.00572014;0.000167101
1573142858628;28.9082;334;1.13028e-05;7.62939e-05;-2.35044e-06
1573142858961;28.9083;333;6.22787e-05;8.77380e-05;8.16542e-06
1573142864294;28.9098;5333;0.000362665;0.00149155;8.16542e-06
1573142877294;28.8901;13000;-7.64611e-05;-0.0196953;1.64492e-05
1573142887628;28.8724;10334;-0.000588981;-0.0176563;1.97049e-05
1573142896294;28.8628;8666;-0.000669630;-0.00957680;2.70792e-05
1573142901294;28.8595;5000;-0.000520854;-0.00336838;1.00691e-06
1573142913961;28.8467;12667;0.000186138;-0.0127945;0.000427650
1573142920628;28.8512;6667;0.00125377;0.00452423;0.000427650
1573142922628;28.8516;2000;6.66629e-05;0.000436783;0.000145517
1573142930628;28.8594;8000;0.00103601;0.00779343;0.000209737
1573142939628;28.8672;9000;0.00128268;0.00775528;2.69079e-05
1573142940961;28.8674;1333;6.37745e-05;0.000221252;-5.14802e-05
1573142943294;28.8674;2333;0.000173014;-2.28882e-05;3.74889e-06
1573142944961;28.8674;1667;0.000173014;7.62939e-06;4.17579e-05
1573142946961;28.8678;2000;4.80337e-05;0.000383377;7.60888e-05
1573142953961;28.8712;7000;0.000890828;0.00339127;0.000141644
1573142959628;28.8680;5667;6.91378e-05;-0.00314522;0.000216696
1573142977961;28.8878;18333;0.00206267;0.0197468;0.000251040
1573142979961;28.8882;2000;0.000111927;0.000411987;5.61736e-05
1573142985294;28.8907;5333;0.000990849;0.00255585;8.22554e-05
1573142988628;28.8903;3334;0.000161381;-0.000474930;0.000234595
1573142993628;28.8936;5000;0.00129879;0.00336075;0.000234595
1573142999961;28.8851;6333;5.63890e-05;-0.00846481;0.000586922
1573143017961;28.9079;18000;0.00198296;0.0227680;0.000586922
1573143022628;28.9103;4667;0.000577096;0.00242424;1.27589e-06
1573143043294;28.9482;20666;0.00348507;0.0378952;0.000412750
1573143060628;28.9938;17334;0.00345973;0.0455589;0.000209672
1573143074628;29.0220;14000;0.00272171;0.0282402;0.000151762
1573143112961;29.1079;38333;0.00424807;0.0858364;0.000248941
1573143114628;29.1080;1667;4.65669e-05;0.000156403;0.000192724
1573143128294;29.1273;13666;0.00218187;0.0192738;0.000260659
1573143146961;29.1834;18667;0.00495741;0.0560532;0.000466711
1573143159628;29.2101;12667;0.00365853;0.0267906;0.000261206
1573143164961;29.2201;5333;0.00197420;0.00998116;0.000165113
1573143179628;29.2470;14667;0.00320624;0.0268574;0.000223719
1573143183628;29.2463;4000;0.000114501;-0.000640869;9.16352e-05
1573143187294;29.2473;3666;0.000331438;0.000934601;9.16352e-05
1573143197961;29.2349;10667;0.000121284;-0.0123539;0.000684108
1573143207628;29.2537;9667;0.00309884;0.0187531;0.000702023
1573143210628;29.2533;3000;1.05885e-05;-0.000387192;0.000129231
1573143216628;29.2563;6000;0.000842570;0.00296593;0.000129231
1573143218294;29.2565;1666;6.55757e-05;0.000221252;-2.16802e-05
1573143221961;29.2573;3667;0.000184837;0.000778198;-7.15864e-06
1573143231628;29.2498;9667;-1.19546e-06;-0.00745201;3.09898e-05
1573143249294;29.2237;17666;-0.000321360;-0.0260639;3.15679e-05
1573143261628;29.2178;12334;3.34725e-05;-0.00593376;9.06343e-05
1573143264961;29.2179;3333;0.000161954;8.01086e-05;4.13183e-05
1573143293628;29.1584;28667;-3.85694e-05;-0.0595055;0.000102863
1573143320961;29.1298;27333;3.31360e-05;-0.0285435;9.07419e-05
1573143328961;29.1311;8000;0.000221158;0.00123405;9.07419e-05
1573143341961;29.1232;13000;-1.87066e-05;-0.00789452;1.73329e-05
1573143357628;29.1074;15667;-5.72517e-05;-0.0157375;1.84309e-05
1573143368961;29.0958;11333;6.52049e-05;-0.0115948;0.000244718
1573143372628;29.0964;3667;0.000211371;0.000570297;0.000244718
1573143375294;29.0964;2666;3.94188e-06;-1.14441e-05;0.000142418
1573143385961;29.1018;10667;0.000814441;0.00543213;0.000173766
1573143396961;29.1086;11000;0.00125202;0.00676537;0.000175626
1573143417628;29.0872;20667;3.79660e-05;-0.0214310;0.000376535
1573143444628;29.1257;27000;0.00297621;0.0385685;0.000385657
1573143449961;29.1246;5333;1.19696e-05;-0.00116730;3.33519e-05
1573143452628;29.1245;2667;9.66626e-05;-7.62939e-05;1.74405e-05
1573143461294;29.1169;8666;4.53844e-06;-0.00760078;0.000162745
1573143463961;29.1175;2667;0.000343534;0.000566483;0.000162745
1573143472294;29.1040;8333;1.15782e-05;-0.0134850;0.000290000
1573143474628;29.1038;2334;0.000270228;-0.000156403;0.000290000
1573143487961;29.0842;13333;-0.000102599;-0.0196552;1.78101e-05
1573143497961;29.0670;10000;-0.000976079;-0.0171394;4.52609e-06
1573143503294;29.0560;5333;-0.00190159;-0.0109921;1.71834e-06
1573143510294;29.0459;7000;7.55207e-06;-0.0101395;0.000181392
1573143512628;29.0456;2334;0.000269603;-0.000263214;0.000181392
1573143524294;29.0331;11666;1.32174e-06;-0.0124817;0.000514660
1573143535294;29.0440;11000;0.00202847;0.0108509;0.000514660
1573143556961;29.0081;21667;-7.98146e-05;-0.0359402;3.30145e-06
1573143558961;29.0032;2000;-0.00242938;-0.00482750;1.71177e-06
1573143571961;28.9544;13000;-0.00231781;-0.0488205;9.33564e-05
1573143585294;28.9080;13333;-0.00231781;-0.0464096;2.50702e-05
1573143596628;28.8619;11334;-0.00294119;-0.0460873;3.93847e-06
1573143614628;28.8158;18000;0.000121891;-0.0460701;0.000307139
1573143617961;28.8163;3333;0.000336219;0.000501633;0.000192242
