motif_frequency,power
2765.000000,1.330365
2374.000000,2.012839
2054.000000,2.337762
1911.000000,2.757182
1916.000000,3.137474
1852.000000,3.429257
2768.000000,2.274211
2250.000000,2.429263
2057.000000,2.498415
1973.000000,2.759294
1919.000000,2.942043
2768.000000,2.398694
2173.000000,2.414488
2367.000000,2.468676
1961.000000,2.609982
1973.000000,2.491302
2768.000000,2.213172
2369.000000,2.230385
2150.000000,2.055124
2915.000000,1.661916
2363.000000,1.733748
1874.000000,1.844674
1913.000000,2.280267
1852.000000,2.764612
1750.000000,3.568701
3206.000000,1.267426
2373.000000,0.870592
1971.000000,0.920453
1852.000000,1.768339
1790.000000,2.962137
3506.000000,0.599887
2261.000000,-0.076013
1852.000000,0.368844
1793.000000,1.712839
4487.000000,1.076383
1876.000000,0.148349
1820.000000,0.978739
5429.000000,2.820669
1907.000000,1.680029
1826.000000,2.630647
1820.000000,3.505053
1757.000000,4.194498
1793.000000,4.453102
5219.000000,5.712231
4604.000000,5.409499
2009.000000,4.222278
1907.000000,4.519655
1829.000000,5.191206
1907.000000,6.531874
5361.000000,7.331838
3502.000000,7.714633
1940.000000,6.333907
1907.000000,6.360384
5212.000000,7.681573
3158.000000,8.550579
2009.000000,7.748884
2009.000000,7.518827
5212.000000,7.449395
3149.000000,7.763276
2147.000000,8.340975
2009.000000,7.953695
1826.000000,6.618597
1820.000000,5.308639
1652.000000,4.131338
5427.000000,6.730294
4346.000000,7.351134
2147.000000,9.130979
2009.000000,7.339315
1826.000000,5.776389
1663.000000,4.312614
5423.000000,6.936210
3713.000000,8.904212
2444.000000,8.954324
2009.000000,5.389905
1721.000000,3.788247
5325.000000,7.558600
4157.000000,9.694964
2591.000000,6.972956
2009.000000,3.344393
5519.000000,7.090664
4929.000000,7.524735
2432.000000,2.855017
1829.000000,1.607945
1792.000000,2.341374
1795.000000,3.291168
1587.000000,3.375056
5411.000000,4.558105
1755.000000,-0.060370
1795.000000,0.573752
1799.000000,1.911238
1539.000000,2.952225
4754.000000,0.814774
2165.000000,-0.217029
1919.000000,1.124201
1916.000000,2.413612
3137.000000,-0.018351
2366.000000,0.981510
1883.000000,1.942443
1799.000000,3.775206
3075.000000,2.055430
2739.000000,2.391624
2255.000000,2.117911
2040.000000,1.991662
1969.000000,2.188193
1972.000000,2.315069
2733.000000,4.243113
2516.000000,2.568846
2232.000000,2.316655
2090.000000,2.073883
2033.000000,1.945187
2739.000000,4.529067
2619.000000,2.673913
2613.000000,2.685984
2321.000000,2.215543
2168.000000,1.690930
2739.000000,3.984538
2505.000000,2.319332
2317.000000,1.886615
3015.000000,3.222090
2511.000000,1.552675
2312.000000,1.088793
2033.000000,1.253678
1972.000000,1.614490
1760.000000,2.259396
3423.000000,0.990723
2324.000000,0.405165
1823.000000,-0.123460
1911.000000,0.634503
1902.000000,1.568172
3426.000000,-0.381936
2304.000000,-0.960594
1985.000000,-0.722055
1917.000000,0.417360
4398.000000,0.132363
2003.000000,-1.140534
1928.000000,-0.474880
5187.000000,1.592012
2001.000000,0.126204
1929.000000,1.074524
1929.000000,2.002022
1921.000000,2.682527
1902.000000,2.850132
5204.000000,5.026104
4068.000000,3.875481
2103.000000,2.733928
2001.000000,3.062488
1929.000000,3.636699
2001.000000,4.854117
5385.000000,5.790650
3770.000000,6.116368
2235.000000,4.970687
2001.000000,4.973056
5268.000000,6.450905
3438.000000,7.914143
2235.000000,6.413685
2103.000000,5.952346
5315.000000,6.812686
4445.000000,7.456695
2640.000000,6.686873
2103.000000,6.058069
1917.000000,4.746996
1926.000000,3.535205
1902.000000,2.640246
5371.000000,8.182796
4767.000000,6.316458
2430.000000,7.280793
2103.000000,5.419780
1918.000000,4.015082
1768.000000,2.687808
5227.000000,5.826578
4402.000000,9.056646
2775.000000,7.401328
2103.000000,3.617839
2000.000000,2.137149
5344.000000,6.267329
4401.000000,8.242514
2775.000000,5.361590
2103.000000,1.679809
5154.000000,5.614051
4486.000000,5.759516
2502.000000,1.127731
1929.000000,0.226977
1763.000000,1.097146
1910.000000,2.044348
1944.000000,2.263676
5087.000000,2.753666
1858.000000,-1.472747
1910.000000,-0.352429
1785.000000,1.014921
1996.000000,1.991710
4824.000000,-0.467276
2350.000000,-0.856490
1990.000000,0.539951
1988.000000,1.685955
3696.000000,-0.475102
2739.000000,0.575405
2160.000000,1.572021
